iter	Passed	Remaining
0	174	174692
1	182	91092
2	191	63736
3	199	49698
4	207	41262
5	213	35438
6	222	31597
7	230	28622
8	239	26415
9	255	25309
10	267	24008
11	276	22762
12	283	21525
13	290	20486
14	297	19532
15	305	18792
16	312	18067
17	320	17477
18	327	16900
19	334	16409
20	342	15949
21	350	15566
22	357	15184
23	365	14870
24	373	14554
25	381	14277
26	388	14011
27	396	13753
28	404	13535
29	411	13306
30	419	13098
31	426	12899
32	434	12721
33	442	12569
34	450	12427
35	458	12268
36	466	12134
37	473	11995
38	481	11867
39	489	11740
40	497	11637
41	505	11523
42	513	11430
43	521	11320
44	529	11246
45	538	11170
46	546	11086
47	554	10997
48	562	10913
49	570	10839
50	577	10749
51	585	10670
52	593	10605
53	600	10528
54	609	10466
55	616	10393
56	624	10332
57	631	10263
58	639	10202
59	647	10140
60	655	10093
61	663	10038
62	671	9983
63	679	9934
64	687	9889
65	695	9836
66	703	9798
67	711	9751
68	719	9707
69	726	9655
70	735	9619
71	743	9579
72	752	9555
73	762	9547
74	771	9519
75	779	9478
76	790	9474
77	800	9468
78	811	9454
79	822	9453
80	831	9439
81	840	9404
82	848	9374
83	856	9337
84	864	9303
85	872	9267
86	880	9237
87	888	9209
88	897	9184
89	905	9157
90	913	9128
91	921	9096
92	929	9069
93	938	9042
94	946	9017
95	954	8985
96	962	8960
97	970	8929
98	978	8907
99	987	8884
100	997	8876
101	1005	8856
102	1015	8840
103	1024	8825
104	1035	8826
105	1046	8824
106	1057	8824
107	1068	8828
108	1079	8824
109	1089	8814
110	1129	9050
111	1151	9126
112	1166	9158
113	1179	9164
114	1189	9156
115	1200	9147
116	1210	9133
117	1219	9118
118	1229	9103
119	1239	9091
120	1249	9075
121	1259	9063
122	1268	9045
123	1278	9029
124	1287	9012
125	1297	8999
126	1307	8985
127	1316	8969
128	1327	8960
129	1336	8946
130	1346	8930
131	1356	8918
132	1364	8897
133	1374	8880
134	1383	8865
135	1393	8851
136	1403	8839
137	1412	8824
138	1422	8810
139	1431	8793
140	1441	8784
141	1452	8778
142	1462	8763
143	1472	8750
144	1481	8736
145	1491	8723
146	1501	8710
147	1510	8698
148	1521	8692
149	1531	8681
150	1542	8672
151	1552	8663
152	1562	8648
153	1572	8639
154	1585	8641
155	1595	8632
156	1606	8628
157	1617	8618
158	1627	8608
159	1637	8595
160	1648	8593
161	1659	8582
162	1670	8575
163	1680	8565
164	1691	8557
165	1702	8553
166	1713	8545
167	1723	8533
168	1733	8522
169	1744	8515
170	1754	8506
171	1766	8503
172	1778	8500
173	1788	8488
174	1797	8476
175	1808	8466
176	1817	8452
177	1829	8447
178	1839	8434
179	1849	8426
180	1861	8423
181	1871	8412
182	1882	8404
183	1892	8390
184	1901	8376
185	1911	8365
186	1921	8353
187	1932	8344
188	1942	8333
189	1952	8323
190	1963	8315
191	1974	8311
192	1985	8301
193	1995	8290
194	2005	8277
195	2016	8270
196	2026	8260
197	2036	8247
198	2046	8236
199	2057	8231
200	2067	8217
201	2078	8212
202	2089	8202
203	2098	8188
204	2108	8176
205	2117	8163
206	2127	8151
207	2138	8143
208	2147	8127
209	2157	8116
210	2167	8104
211	2177	8093
212	2187	8083
213	2197	8069
214	2206	8056
215	2216	8045
216	2226	8032
217	2235	8019
218	2245	8007
219	2254	7994
220	2264	7980
221	2273	7968
222	2282	7953
223	2291	7938
224	2301	7925
225	2309	7910
226	2319	7897
227	2328	7883
228	2337	7870
229	2346	7855
230	2356	7844
231	2365	7831
232	2374	7817
233	2384	7804
234	2393	7791
235	2403	7782
236	2414	7771
237	2424	7763
238	2434	7751
239	2444	7739
240	2454	7729
241	2464	7718
242	2473	7705
243	2483	7693
244	2492	7680
245	2501	7667
246	2510	7653
247	2519	7639
248	2528	7624
249	2537	7612
250	2547	7602
251	2557	7590
252	2567	7579
253	2576	7567
254	2586	7556
255	2596	7546
256	2606	7535
257	2616	7525
258	2625	7512
259	2636	7504
260	2646	7493
261	2656	7481
262	2666	7471
263	2676	7460
264	2686	7451
265	2697	7443
266	2707	7432
267	2717	7422
268	2728	7413
269	2737	7401
270	2747	7390
271	2757	7380
272	2769	7374
273	2779	7364
274	2790	7355
275	2800	7345
276	2810	7336
277	2821	7326
278	2831	7317
279	2842	7310
280	2853	7302
281	2864	7292
282	2874	7283
283	2884	7271
284	2895	7264
285	2906	7256
286	2917	7247
287	2927	7238
288	2938	7228
289	2949	7222
290	2961	7214
291	2971	7205
292	2982	7196
293	2993	7189
294	3004	7180
295	3015	7172
296	3026	7163
297	3036	7154
298	3047	7145
299	3059	7138
300	3069	7128
301	3080	7119
302	3091	7112
303	3101	7101
304	3112	7091
305	3123	7082
306	3132	7072
307	3144	7064
308	3155	7056
309	3165	7045
310	3176	7036
311	3187	7028
312	3198	7019
313	3209	7011
314	3220	7004
315	3231	6995
316	3242	6985
317	3253	6977
318	3263	6967
319	3275	6960
320	3286	6951
321	3296	6941
322	3307	6932
323	3318	6924
324	3328	6913
325	3339	6905
326	3350	6895
327	3361	6887
328	3371	6876
329	3383	6868
330	3393	6859
331	3404	6849
332	3415	6840
333	3425	6829
334	3435	6820
335	3446	6811
336	3457	6802
337	3468	6793
338	3479	6783
339	3490	6775
340	3500	6765
341	3512	6757
342	3522	6747
343	3533	6738
344	3544	6728
345	3553	6717
346	3564	6707
347	3574	6696
348	3583	6684
349	3593	6673
350	3602	6661
351	3612	6651
352	3623	6640
353	3633	6630
354	3644	6621
355	3653	6609
356	3663	6598
357	3674	6589
358	3683	6577
359	3694	6567
360	3703	6555
361	3712	6543
362	3722	6532
363	3731	6520
364	3741	6509
365	3751	6498
366	3762	6490
367	3772	6479
368	3785	6472
369	3795	6462
370	3805	6452
371	3816	6442
372	3827	6433
373	3838	6424
374	3848	6414
375	3858	6403
376	3869	6393
377	3879	6384
378	3890	6375
379	3902	6366
380	3911	6355
381	3923	6347
382	3935	6339
383	3945	6329
384	3957	6321
385	3968	6312
386	3979	6303
387	3990	6294
388	4001	6285
389	4013	6277
390	4025	6270
391	4036	6260
392	4047	6251
393	4059	6243
394	4069	6233
395	4079	6222
396	4089	6212
397	4101	6203
398	4110	6191
399	4120	6181
400	4130	6170
401	4141	6160
402	4152	6151
403	4164	6143
404	4175	6133
405	4186	6125
406	4198	6116
407	4208	6106
408	4219	6097
409	4230	6087
410	4240	6076
411	4251	6067
412	4262	6058
413	4272	6047
414	4283	6038
415	4294	6028
416	4304	6017
417	4315	6008
418	4326	5999
419	4337	5989
420	4348	5980
421	4359	5970
422	4370	5961
423	4381	5952
424	4393	5943
425	4403	5932
426	4414	5923
427	4424	5913
428	4434	5902
429	4446	5893
430	4456	5882
431	4467	5873
432	4478	5865
433	4489	5854
434	4500	5845
435	4511	5835
436	4522	5825
437	4532	5815
438	4544	5807
439	4555	5797
440	4565	5787
441	4578	5780
442	4589	5770
443	4599	5759
444	4610	5750
445	4623	5743
446	4634	5732
447	4644	5723
448	4655	5713
449	4666	5703
450	4676	5693
451	4687	5683
452	4699	5674
453	4710	5664
454	4721	5655
455	4733	5646
456	4743	5636
457	4755	5627
458	4767	5618
459	4779	5610
460	4790	5601
461	4803	5593
462	4813	5583
463	4824	5573
464	4836	5564
465	4847	5554
466	4858	5545
467	4871	5537
468	4883	5529
469	4894	5519
470	4905	5510
471	4916	5500
472	4928	5491
473	4940	5482
474	4952	5474
475	4964	5465
476	4976	5456
477	4987	5446
478	4998	5436
479	5009	5426
480	5020	5417
481	5032	5408
482	5044	5399
483	5055	5389
484	5067	5380
485	5078	5370
486	5088	5360
487	5101	5351
488	5112	5342
489	5122	5331
490	5133	5322
491	5145	5312
492	5155	5301
493	5166	5291
494	5177	5282
495	5188	5272
496	5199	5262
497	5211	5253
498	5221	5242
499	5232	5232
500	5243	5222
501	5254	5212
502	5265	5202
503	5277	5193
504	5287	5183
505	5299	5174
506	5312	5165
507	5323	5155
508	5333	5145
509	5345	5135
510	5356	5125
511	5367	5115
512	5379	5106
513	5391	5097
514	5402	5087
515	5413	5078
516	5426	5069
517	5438	5060
518	5449	5050
519	5461	5041
520	5473	5032
521	5484	5021
522	5495	5012
523	5509	5004
524	5520	4995
525	5532	4985
526	5542	4974
527	5553	4964
528	5564	4954
529	5576	4944
530	5587	4935
